epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7005,1.12248,5.76577,1.34164,0.01482,0.81818,0.05595,0.01887,0.58564,14.2185,1.46074,0.00012,0.00012,0.00012
2,29.6663,0.73195,3.10244,0.78646,0.14051,0.72727,0.2175,0.13604,0.3439,2.37173,0.65274,0.00025142,0.00025142,0.00025142
3,41.908,0.79331,1.1962,0.79491,0.70912,0.72727,0.62043,0.46809,0.2537,1.47238,0.54055,0.0003736,0.0003736,0.0003736
4,56.8715,0.75695,1.07205,0.77713,0.69072,0.72727,0.53236,0.37809,0.3221,1.53153,0.70518,0.00048654,0.00048654,0.00048654
5,68.4872,0.58604,0.99085,0.67235,0.65831,0.72727,0.58876,0.45035,0.29353,1.11141,0.68171,0.00059024,0.00059024,0.00059024
6,82.8307,0.67232,0.76862,0.76333,0.72833,0.63636,0.60654,0.51725,0.25258,1.16839,0.61768,0.0006847,0.0006847,0.0006847
7,101.787,0.67226,0.80592,0.71995,0.40372,0.49406,0.5085,0.21018,0.34376,1.75798,0.74552,0.00076992,0.00076992,0.00076992
8,116.01,0.54378,0.87039,0.57076,0.26309,0.54545,0.22678,0.08984,0.47727,1.45094,1.23152,0.0008459,0.0008459,0.0008459
9,130.573,0.6009,0.92437,0.5886,0.24716,0.45455,0.23313,0.07531,0.42584,1.82356,0.99576,0.00091264,0.00091264,0.00091264
10,144.505,0.57097,0.88946,0.60846,0.35144,0.27273,0.26585,0.0526,nan,nan,nan,0.00097014,0.00097014,0.00097014
11,158.595,0.57442,0.82988,0.58747,0.03381,0.09091,0.01079,0.00161,nan,nan,nan,0.0010184,0.0010184,0.0010184
12,172.623,0.55993,0.68813,0.64723,0.14278,0.27273,0.05144,0.01264,nan,nan,nan,0.00105742,0.00105742,0.00105742
13,187.367,0.55697,0.75582,0.61803,0.0921,0.54545,0.07899,0.03077,nan,nan,nan,0.0010872,0.0010872,0.0010872
14,202,0.63654,0.79451,0.6307,0.27206,0.54545,0.24239,0.08977,0.28261,1.74617,0.45011,0.00110774,0.00110774,0.00110774
15,216.442,0.502,0.83616,0.58947,0.33581,0.36364,0.34177,0.17058,0.32566,1.71062,0.68465,0.001076,0.001076,0.001076
16,230.824,0.651,0.67593,0.6399,0.09945,0.27273,0.1824,0.0609,0.58138,1.42665,1.17928,0.00101,0.00101,0.00101
17,244.855,0.64277,0.68317,0.63804,0.12792,0.45455,0.08463,0.03611,0.79723,1.22718,1.62478,0.000944,0.000944,0.000944
18,261.014,0.64526,0.64514,0.72722,0.04999,0.09091,0.01955,0.00446,0.97034,1.30465,2.36418,0.000878,0.000878,0.000878
19,275.655,0.64942,0.72823,0.72771,0.26008,0.18182,0.09207,0.01268,1.03548,1.08271,2.18495,0.000812,0.000812,0.000812
20,291.26,0.48597,0.85418,0.52134,0.34811,0.27273,0.13874,0.02307,0.8959,1.02655,2.3331,0.000746,0.000746,0.000746
21,306.106,0.58477,0.98133,0.70599,0.31927,0.27273,0.23424,0.03401,0.96188,0.88199,2.39169,0.00068,0.00068,0.00068
22,320.984,0.6018,0.90039,0.72392,0.02863,0.27273,0.03061,0.01711,0.5692,1.50696,1.16749,0.000614,0.000614,0.000614
23,337.512,0.61448,1.02721,0.7989,0.6459,0.54545,0.51464,0.24576,0.60744,0.99337,1.07228,0.000548,0.000548,0.000548
24,351.812,0.55015,0.92192,0.7392,0.42986,0.41341,0.22135,0.03949,0.93423,1.02074,2.18847,0.000482,0.000482,0.000482
25,366.136,0.5954,0.68458,0.72292,0.60296,0.45455,0.39153,0.09568,0.80239,1.06424,1.55956,0.000416,0.000416,0.000416
26,380.541,0.61744,0.78252,0.80368,0.73743,0.45455,0.56837,0.33551,0.50269,1.10551,1.08249,0.00035,0.00035,0.00035
27,396.697,0.54294,0.70372,0.67297,0.95269,0.63636,0.70922,0.51369,0.50947,0.57943,1.10635,0.000284,0.000284,0.000284
28,410.74,0.56279,0.64937,0.62761,0.96642,0.63636,0.69084,0.5414,0.51206,0.4824,0.9845,0.000218,0.000218,0.000218
29,431.687,0.4967,0.70946,0.58365,0.97821,0.63636,0.71162,0.55316,0.40734,0.59748,0.77376,0.000152,0.000152,0.000152
30,452.091,0.50115,0.70313,0.5452,0.76479,0.63636,0.69836,0.54766,0.43914,0.6105,0.89594,8.6e-05,8.6e-05,8.6e-05
